timestamps,#packets,#bytes,#unique_IP_sources,#unique_IP_destinations
1552118400,33737638.833333, 1677394532.35,528230.35,13065117.616667
1552122000,33823707.066667, 1518294452.4333,523158.31666667,12977241.75
1552125600,35144980.15, 1616828589.25,516129.46666667,13073822.85
1552129200,33640584.583333, 1507130525.15,521065.33333333,13037237.3
1552132800,35192367.2, 1566806657.7167,526577.88333333,13144245.3
1552136400,36387207.416667, 1937694836.1,531960.91666667,13224772.1
1552140000,33880249.75, 1576992929.05,545927.28333333,13047587.5
1552143600,34651123.016667, 1548837923.5167,542290.61666667,13165496.516667
1552147200,34965371.533333, 1699113364.9667,519753.35,13187058.466667
1552150800,32006642.866667, 1783561088.55,496223.96666667,12664723.85
1552154400,32919515.35, 1583530849.9833,473189.31666667,12884499.133333
1552158000,33226328.1, 1622458173.55,454170.55,13081875.4
1552161600,34159936.433333, 1611464725.6167,435501.63333333,13225529.983333
1552165200,34125938, 1950286103.8833,419227.93333333,13157025.85
1552168800,33863608.566667, 1811016858.7833,413986.43333333,13187969
1552172400,35258268.6, 1790818630.3333,409509.73333333,13377292.25
1552176000,34918133.133333, 1769084058.1,413655.25,13332718.016667
1552179600,35207678.866667, 1678532583.1333,427386.11666667,13318536.866667
1552183200,33613010.75, 1620064034.35,440346.6,13113595.1
1552186800,34348181.8, 1681366372.4,449614.91666667,13149542.05
1552190400,33394644.8, 1595284942.85,463563.88333333,13072988.516667
1552194000,32920047.8, 1684914277.2833,474908.28333333,13006883.95
1552197600,32923798.433333, 1501584323.4,489583.61666667,12967386.416667
1552201200,32928866.066667, 1620034639.1333,499108.11666667,12979034.8
1552204800,32298734.316667, 1620074935.5,507454.16666667,12865416.966667
1552208400,32672730.583333, 1490860778.2,508125.08333333,12909510.55
1552212000,31529572.483333, 1446973146.1333,512226.86666667,12694932.616667
1552215600,35202642.966667, 1593748431.1833,522241.06666667,12870877.05
1552219200,33895581.5, 1767823795.9,528256.35,13086300.233333
1552222800,33187355.85, 1577951878.3667,541576.08333333,12968232.416667
1552226400,34797147.616667, 1596843998.85,547389.96666667,13140979.2
1552230000,33950365.85, 1541007732.3667,540027.03333333,13006826.566667
1552233600,33798613.8, 1734171703.25,519508,12994722.616667
1552237200,33162370.583333, 1555772318.95,489961.83333333,12908486.633333
1552240800,34232538.016667, 1601335575.3,469063.21666667,13094872.333333
1552244400,, ,,
1552248000,, ,,
1552251600,, ,,
1552255200,, ,,
1552258800,, ,,
1552262400,, ,,
1552266000,, ,,
1552269600,, ,,
1552273200,, ,,
1552276800,, ,,
1552280400,, ,,
1552284000,, ,,
1552287600,, ,,
1552291200,, ,,
1552294800,, ,,
1552298400,, ,,
1552302000,, ,,
1552305600,, ,,
1552309200,, ,,
1552312800,, ,,
1552316400,, ,,
1552320000,, ,,
1552323600,28603192.883333, 1337800076.7333,506038.56666667,12162537.466667
1552327200,31329134.5, 1520300769.5333,483353.86666667,12723227.116667
1552330800,30718788.4, 1397095311.0833,464260.21666667,12627641.283333
1552334400,30688621.883333, 1667532990.95,446942.85,12527077.283333
1552338000,29957616.366667, 1398417112.2833,433587.8,12507836.1
1552341600,27951913.35, 1336078046.15,426875.38333333,12128891.5
1552345200,26716224.783333, 1354574037.2333,420194.61666667,11856944.766667
1552348800,29297604.3, 1610346476.6833,430241.86666667,12207419.45
1552352400,27873133.566667, 1333971934.4833,455220.23333333,12121888.533333
1552356000,28699601.316667, 1470953137.3833,471848.41666667,12299907.933333
1552359600,28697349.233333, 1560107011.9,479825.95,12294684.683333
1552363200,28716216.333333, 1396220040.45,496911.18333333,12231377.183333
1552366800,28591152.283333, 1535975835.6167,514138.56666667,12234898.216667
1552370400,28935585.266667, 1336095469.1833,524977.25,12180010.75
1552374000,29714553.316667, 1369814329.8,528765.05,12247160.466667
1552377600,28333211.466667, 1344905206.45,528522.86666667,12200527.566667
1552381200,30602091.216667, 1402958465,522088.21666667,12187705.583333
1552384800,26297976.883333, 1204523420.25,489492.26666667,11415823
1552388400,27445109.533333, 1503838567.4167,523677.96666667,11856184.583333
1552392000,31667494.716667, 1594252660.6833,534593.6,12303299.116667
1552395600,26054740.883333, 1204453649.1667,552677.45,11666519.416667
1552399200,27095820, 1279626051.5667,558392.55,11781144.466667
1552402800,27810450.25, 1306298912.45,548883.23333333,12104714.516667
1552406400,26793280.133333, 1258347088,526905.5,11902551.3
1552410000,26229273.033333, 1337491016.65,508333.76666667,11772591.483333
1552413600,29539352.95, 1348342915.7667,485336.26666667,11896542.733333
1552417200,24324872.166667, 1159768267.3,466978.6,11333382.433333
1552420800,27290633.366667, 1457972567.6667,449289.6,11901822.383333
1552424400,26103360.55, 1417555434.15,434160.86666667,11790201.1
1552428000,25527151.133333, 1224528114.4333,426354.33333333,11596862.8
1552431600,25002100.283333, 1176187688.6333,417017.05,11486471.716667
1552435200,29591988.766667, 1357737470.7167,423527.5,11774437.95
1552438800,26406420.266667, 1387686027.5,450950.36666667,11776842.9
1552442400,28990661.25, 1439950030.15,464707.53333333,12338446.966667
1552446000,30002918.916667, 1435015529.2,475784.21666667,12497826.633333
1552449600,28465765.166667, 1414974764.8667,493156.61666667,12213859.45
1552453200,31194164.85, 1450256866.8,508076.33333333,12473180.416667
1552456800,29069284.65, 1434046570.4833,520030.65,12272728.466667
1552460400,31100592.366667, 1435478457.1833,524057.08333333,12360340.366667
1552464000,29787896.016667, 1413360211.9167,524996.31666667,12518348.183333
1552467600,29785928.35, 1569931950.0333,515898.56666667,12535865.866667
1552471200,29312269.9, 1660226933.5,508651.55,12303767.116667
1552474800,29118686.566667, 1327673649.35,520626.45,12420743.25
1552478400,29750236.65, 1354858097.9833,531558.06666667,12385876.35
1552482000,30538446.566667, 1440997851.7667,541700.35,12320705.683333
1552485600,30568535.516667, 1731720080.0667,548681.1,12393870.366667
1552489200,28853156.35, 1666615064.9833,544444.05,12186692.616667
1552492800,27863117.933333, 1284000888.1667,527021.91666667,12132597.7
1552496400,26408802.783333, 1225035712.55,504125.5,11837726.65
1552500000,25411160.95, 1173184118.3,481343.66666667,11616752.516667
1552503600,25633552.833333, 1177743191.5833,457209.85,11712165.216667
1552507200,25747207.366667, 1196937851.6667,439277.4,11724762.933333
1552510800,25769343.916667, 1320738101.9833,426945.61666667,11537919.333333
1552514400,24912159.616667, 1565313894.8167,427441.35,11441913.066667
1552518000,27904756.616667, 1290662403.9667,416354.65,12142506.516667
1552521600,30684833.466667, 1508440669.9833,426749.01666667,12372882.55
1552525200,29208981.583333, 1425678582.0333,451285.33333333,12409911.416667
1552528800,29491155.25, 1394125539.0833,465987.8,12466817.8
1552532400,31395512.75, 1511203769.6167,476488.26666667,12351054.5
1552536000,31276819.266667, 1583274187.1167,494054.95,12262808.066667
1552539600,30545275.466667, 1454054728.0833,514693.21666667,12336144.466667
1552543200,30095291.75, 1414949099.95,529021.58333333,12362701.683333
1552546800,30329640.866667, 1744494929.3167,533938.15,12172933.95
1552550400,31232265.4, 1505990611.2167,536117.05,12475075.933333
1552554000,29112800.583333, 1469444831.9833,523110.2,11897802.866667
1552557600,30371123.933333, 1437362322.15,516637.45,11907707.633333
1552561200,29340705.466667, 1447572041.45,521639.71666667,11962959.566667
1552564800,27910614.133333, 1277245065.0833,536223.28333333,11874805.05
1552568400,31967186.133333, 1559659451.15,546465.88333333,12588599.466667
1552572000,32065924.1, 1874609152.2167,549973.55,12597897.95
1552575600,29788974.35, 1506129206.6833,550417.65,12360217.483333
1552579200,29336678.3, 1381244463.5667,529163.43333333,12293276.766667
1552582800,29468371.95, 1382065132.6667,502943.46666667,12367125.916667
1552586400,31065075.916667, 1510698395.8,482710.98333333,12643579.316667
1552590000,30827062.45, 1394027059.0667,463390.21666667,12641947.416667
1552593600,31154659.266667, 1472583280.6333,444020.36666667,12706785.95
1552597200,31266319.383333, 1690068291.3833,430525.46666667,12600840.7
